id,title_primary,title_ko,confidence,reasoning
tjpdf-68262,秘密のトワレ,비밀의 트와레,medium,"秘密=secret, トワレ=toilette/eau de toilette (Aihara Kotomi)"
tjpdf-28240,ハナマル☆センセイション,하나마루☆센세이션,medium,"ハナマル=hanamaru/excellent, センセイション=sensation (Little Non Working!! canonical)"
tjpdf-28396,創傷イノセンス,창상 이노센스,medium,"創傷=wound, イノセンス=innocence (Uchida Maaya Strike the Blood)"
tjpdf-28320,林檎もぎれビーム!,사과 따자 빔!,medium,"林檎=apple, もぎれ=pluck, ビーム=beam (Sayonara Zetsubou Sensei)"
tjpdf-28400,青春サツバツ論,청춘 살벌론,medium,"青春=youth, サツバツ=殺伐=brutal (Assassination Classroom)"
tjpdf-28475,月蝕グランギニョル,월식 그랑기뇰,medium,"月蝕=lunar eclipse, グランギニョル=Grand Guignol (ALI PROJECT Rozen Maiden Träumend)"
tjpdf-28811,君氏危うくも近うよれ,그대 위태로움 가까이 다가오시라,medium,"君氏危うくも=you-sir-perilously, 近うよれ=come closer (A応P)"
tjpdf-28209,サヤエンドウ,사야 콩,medium,サヤエンドウ = snow pea (NEWS One Piece canonical)
tjpdf-28496,僕クエスト,나 퀘스트,medium,僕クエスト = my quest (Golden Bomber)
tjpdf-28166,アナタMAGIC,아나타 매직,medium,"アナタ=you, MAGIC (monobright Soul Eater)"
tjpdf-28504,DT捨テル,DT 버려라,medium,DT (slang) 捨テル=discard (Golden Bomber)
tjpdf-28252,ヒャダインのじょーじょーゆー,햐다인의 죠~죠~유~,medium,ヒャダイン proper name; じょーじょーゆー catchphrase (Nichijou OP canonical)
tjpdf-28453,とんちんかんちん一休さん,엉뚱한 잇큐상,medium,"とんちんかんちん=mismatched, 一休さん=Ikkyu (canonical)"
tjpdf-28398,天壌を翔る者たち,천양을 나는 자들,medium,"天壌=heaven and earth, 翔る=soar (Love Planet Five Reborn!)"
tjpdf-27875,兵部京介vs皆本光一with賢木修二starring 遊佐浩二,,low,Title equals artist string (proper-noun cluster: 兵部京介vs皆本光一with賢木修二starring 遊佐浩二). Treating as null.
tjpdf-28243,パラドキシカルZOO,패러독시컬 ZOO,medium,"パラドキシカル=Paradoxical, ZOO (AKINO bless4)"
tjpdf-28193,ギー太に首ったけ,기타에 푹 빠져,medium,"ギー太=Gita (guitar nickname), に首ったけ=head over heels for (K-On!)"
tjpdf-28210,シアワセネイロ,시아와세 네이로,medium,"シアワセ=happiness, ネイロ=tone color (ORANGE RANGE Bleach)"
tjpdf-28286,わが臈たし悪の華,내 옥같은 악의 꽃,medium,"わが=my, 臈たし=elegant, 悪の華=flower of evil (ALI PROJECT Aku no Hana)"
tjpdf-28685,アンチクロックワイズ,안티 클락와이즈,medium,アンチクロックワイズ = Anticlockwise (After the Rain)
tjpdf-28241,はなをぷーん,꽃을 푸~응,medium,はなをぷーん = sniff a flower (Kira Pika)
tjpdf-28313,恋☆カナ,사랑☆카나,medium,恋☆カナ (Kirari Tsukishima canonical)
tjpdf-28477,! 서유기 紫陽花アイ愛物語,서유기 수국 아이 사랑 이야기,medium,"紫陽花=hydrangea, アイ愛物語=I-love story (Biyuden)"
tjpdf-28448,ギャグ100回分愛してください,개그 100회분 사랑해주세요,medium,"ギャグ=gag, 100回分=for 100 times, 愛して=love (Berryz Kobo Pretty Cure canonical)"
tjpdf-28449,ゲッチュウ!らぶらぶぅ?!,겟츄~! 러브러브?!,medium,"ゲッチュウ=getchu/get-you, らぶらぶ=love-love (Pretty Cure canonical)"
tjpdf-28611,花ハ踊レヤいろはにほ,꽃은 춤춰라 이로하니호,medium,"花ハ=flower, 踊レヤ=dance, いろはにほ=Iroha (Hanayamata canonical)"
tjpdf-28394,地獄の沙汰も君次第,지옥의 사정도 너 하기 나름,medium,"地獄の沙汰=hell's judgment, 君次第=depends on you (Hozuki no Reitetsu canonical)"
tjpdf-27878,？でわっしょい,? 로 왓쇼이,medium,？でわっしょい = wasshoi (festival chant) with question mark (Hidamari Sketch)
tjpdf-28871,ヒプノシスマイク-DIVISION,히프노시스 마이크-DIVISION,medium,ヒプノシスマイク = Hypnosis Mic canonical
tjpdf-28879,ヒプノシスマイク-DIVISION RAP,히프노시스 마이크-DIVISION RAP,medium,ヒプノシスマイク = Hypnosis Mic canonical
tjpdf-68315,シス×ラブ,시스×러브,medium,"シス=sister, ラブ=love (HoneyWorks)"
tjpdf-28667,チェチェ・チェック・ワンツー!,체체체크 원투!,medium,"チェチェ・チェック・ワンツー = check-check, one-two (Kurage-P vocaloid)"
tjpdf-68746,とても痛い痛がりたい(カバー),아주 아프게 아파하고 싶어 (커버),medium,"とても痛い=very painful, 痛がりたい=want to be in pain (EZFG vocaloid)"
tjpdf-28522,ビュンビュン!トッキュウジャー,뷴뷴! 토큐저,medium,"Ending theme of Ressha Sentai ToQger (열차전대 토큐저, confirmed by Namu Wiki/KO Wikipedia). 'ビュンビュン' is an onomatopoeia (whoosh/zoom); standard Korean transliteration is '뷴뷴'. 'トッキュウジャー' is established as '토큐저' in Korean tokusatsu fandom. No single source pin for the exact title string, hence medium."
